TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
15-12-2022,25.6,32.6,27.9,81,0,2.5,6,90,2,SE
16-12-2022,25.2,31,27,84,0.8,6.8,4,30,2,E 
17-12-2022,22.9,31.8,27.5,80,23.9,3.2,6,10,2,SE
18-12-2022,24.6,31.8,27.9,80,0.6,8.4,6,10,2,N 
19-12-2022,24.6,30.9,28.5,75,8888,9.7,4,320,2,SE
20-12-2022,25.1,32.3,27.8,81,0,3.9,5,320,2,S 
21-12-2022,24.2,32.1,28,80,5.4,5.8,7,290,2,W 
22-12-2022,25.6,31.9,28.2,80,1.6,7,9,300,3,W 
23-12-2022,24.2,31,28,74,6.9,3.2,14,290,4,W 
24-12-2022,25,31.4,27.6,82,4.6,1.1,8,310,3,NW
25-12-2022,24.7,29.7,27.4,81,5.4,4.4,8,280,3,W 
26-12-2022,24.6,30.9,26.3,80,0.2,0,8,290,3,W 
27-12-2022,22.8,30.2,26.4,84,68.1,0.5,6,290,2,SW
28-12-2022,24,32.4,28,77,8888,0.5,11,290,4,W 
29-12-2022,24.1,30.2,26.6,86,24.8,8.3,7,290,4,W 
30-12-2022,24.4,28.6,25.7,86,4.4,1,7,280,3,W 
31-12-2022,23.8,26.7,24.5,95,92.7,0,8,260,3,W 
01-01-2023,22.8,29.6,26.8,78,124.7,0,8,290,4,W 
02-01-2023,23.6,31,27.7,77,4.1,1.2,9,310,4,NW
03-01-2023,23,31.1,26.8,85,12.4,4.6,6,300,3,W 
04-01-2023,25,31.8,27.7,76,0.4,3.5,9,290,3,W 
05-01-2023,24.4,31.8,27.6,81,1,7.6,8,280,3,W 
06-01-2023,24.1,30.7,26.1,90,21.6,3.7,6,310,2,NW
07-01-2023,23.8,30.8,27.1,84,33.7,6.6,5,10,2,E 
08-01-2023,23.8,30.2,27,86,3.1,7.3,4,10,2,NW
09-01-2023,25.2,31.4,27.8,83,0,6,5,320,2,S 
10-01-2023,25.4,31.2,28.1,80,0.2,6.1,5,350,2,C 
11-01-2023,25.3,31.8,28.2,81,0.5,7.5,5,320,2,NW
12-01-2023,25.4,32.1,28.5,77,0,7.8,6,290,2,C 
13-01-2023,24.8,31.6,27.8,80,0,9.8,7,330,2,N 
14-01-2023,24,32,28.5,75,4,8,6,310,2,NW
15-01-2023,25.6,31.8,28.4,79,1,10.8,6,300,2,NW
16-01-2023,24.6,32.2,28.1,82,18.5,7.2,8,300,4,C 
17-01-2023,25.4,30.8,27,88,0,7.9,6,300,2,C 
18-01-2023,23.6,29.4,25.8,89,20.5,0.4,6,310,2,E 
19-01-2023,23.4,30.7,26.8,86,41.6,0,7,300,3,NW
20-01-2023,23.4,30,27.1,83,8888,2.8,5,20,2,C 
21-01-2023,25,31.3,27.5,80,8888,1.7,5,310,2,SE
22-01-2023,25.2,31.2,27.2,82,0,5.7,7,330,2,E 
23-01-2023,25.2,31.5,26.8,87,1.2,7.5,6,320,2,SW
24-01-2023,25,31.8,28,83,8.2,5,8,300,3,NW
25-01-2023,24.4,30,9999,9999,26.5,8,6,310,2,C 
26-01-2023,24.9,9999,27.6,82,8888,1.8,7,290,4,NW
27-01-2023,25,30.3,26.8,86,14,3.6,7,300,2,NW
28-01-2023,24.8,28,25.8,87,0.5,0.1,6,290,2,W 
29-01-2023,23.8,30.2,26.5,82,5.8,0.8,8,300,3,W 
30-01-2023,24.7,31.6,27.8,77,0,2.4,8,290,2,W 
31-01-2023,25.5,31.4,27.6,82,9999,1.8,5,330,2,SE
01-02-2023,24.8,30,26.8,87,4,1.2,8,280,2,C 
02-02-2023,25.2,30.2,26.9,86,0.7,2.5,9,280,4,NW
03-02-2023,23.8,29.6,26.7,80,53.7,0.2,7,290,2,W 
04-02-2023,24.9,31.6,27.3,81,0,1.4,9,290,3,W 
05-02-2023,24.6,30.4,27.5,80,26.5,4.6,6,300,2,W 
06-02-2023,25,30.9,9999,9999,9999,0.8,7,350,2,S 
07-02-2023,24,32,27.6,81,8888,1.7,11,300,4,NW
08-02-2023,24.4,30.4,26.8,86,0.9,2.8,8,290,2,W 
09-02-2023,25,31,27.2,81,2.9,1.5,10,310,3,NW
10-02-2023,24.7,32,28,76,8888,5.1,11,290,3,W 
11-02-2023,24.2,30.3,26.5,86,42,8,8,280,2,W 
12-02-2023,24,30.9,27.7,76,6.6,1,8,280,3,E 
13-02-2023,24.2,30.6,26.4,86,8888,4.6,5,10,2,C 
14-02-2023,23.8,31,26.7,85,1.8,5.4,7,300,3,NW
15-02-2023,25,32,27.1,83,2.6,7,6,310,2,SE
16-02-2023,24.4,31.9,26.9,82,2,3.4,10,300,2,C 
17-02-2023,24.6,31.9,27.5,82,16.5,4.6,10,310,3,W 
18-02-2023,24.7,31.2,26.7,86,2.3,6.4,8,330,2,W 
19-02-2023,23.4,31.6,26.4,86,3.7,3.5,9,300,3,C 
20-02-2023,24.3,31.3,26.9,85,15.4,8.8,7,310,2,C 
21-02-2023,24.6,31.2,27.5,81,49.1,6.3,8,300,3,W 
22-02-2023,24.7,29.8,26.8,83,13,9.9,10,280,4,W 
23-02-2023,23.7,31,26.1,85,16,2.8,7,270,4,W 
24-02-2023,23.2,31.3,26.7,84,13.5,2.3,8,310,4,W 
25-02-2023,23,29.6,9999,9999,1.3,2.8,9,280,4,NW
26-02-2023,24.2,31.7,26.5,85,5.7,1.2,8,280,4,W 
27-02-2023,24.2,29,25.4,89,10.2,3.7,12,300,4,W 
28-02-2023,23.5,30.2,25.5,88,38.5,0.5,10,270,4,W 
01-03-2023,22.9,31.2,25.8,87,3.4,1.5,7,290,3,W 
02-03-2023,23.4,31.1,24.8,92,15.8,4.7,8,300,3,SE
03-03-2023,23.4,30.2,26.6,87,35.5,0,5,310,2,NW
04-03-2023,24,31.1,27,82,0,9.6,6,320,3,NW
05-03-2023,24.7,31.6,27.5,81,15.8,5.9,9,290,4,W 
06-03-2023,24.8,31.2,27.7,80,1.5,7.6,7,310,2,NW
07-03-2023,25,30.3,27.8,80,0,8.2,6,300,2,NW
08-03-2023,26,31.2,27.8,81,9999,8.3,7,300,2,E 
09-03-2023,24.6,32,27.9,79,1.5,4.4,6,310,2,SE
10-03-2023,25.2,32,28.1,78,0,6.6,7,320,2,NW
11-03-2023,25.8,32.3,28.6,74,0,9.3,5,320,2,NW
12-03-2023,25.6,31.4,28.5,76,8888,8,5,330,2,NW
13-03-2023,24.2,31.4,27.8,74,9999,7.5,6,320,3,NW
14-03-2023,25.2,31.2,28,79,9999,10,7,50,3,E 
15-03-2023,23.4,31.3,27.6,78,6.1,6.4,5,310,2,C 
16-03-2023,25.5,32.3,28.9,77,8888,3.8,5,320,3,NW
17-03-2023,25.7,32.6,28.5,72,0,6.6,7,330,2,SE
18-03-2023,25,32.2,28.2,75,8888,8.3,5,330,2,NW
19-03-2023,25.8,33.1,29,74,0,8.1,6,290,2,NW
20-03-2023,26,32.2,27.9,80,9999,7.8,5,320,2,NW
21-03-2023,24,32.8,27.8,80,5.7,6.8,6,30,2,C 
22-03-2023,24.6,32.4,28.9,74,0,5.4,7,290,2,NW
23-03-2023,25.9,32.2,28.8,78,29,9.3,6,300,3,NW
24-03-2023,25.5,32.2,28.9,71,0,10.4,7,320,3,NW
25-03-2023,26.4,32.4,28.3,79,0,10,7,300,3,NW
26-03-2023,25.2,32.2,28.3,76,8888,6.4,7,300,2,N 
27-03-2023,25,31.2,27.1,84,9,5.7,5,320,2,C 
28-03-2023,25.4,30.6,27.6,80,0.8,5,6,310,3,SE
29-03-2023,25,32,27.7,78,2.2,4.7,6,310,2,SW
30-03-2023,25.4,32.6,28.5,74,8888,6,7,330,3,NW
31-03-2023,25,32.9,28.1,79,0.4,5.3,9,300,3,NW
01-04-2023,24.8,31.6,9999,9999,8888,3.6,5,300,2,E 
02-04-2023,24,31.2,26.5,80,8.5,2.7,4,320,2,SE
